ticker,date,direction,n_comp,range_high,range_low,range_size,entry_price,stop,target,exit_price,exit_date,risk,pnl_per_share,r_multiple,result,exit_reason
LLY,2018-12-19,short,5,115.78,111.02,4.76,111.54,115.78,103.06,115.78,2018-12-31,4.24,-4.24,-1.0,LOSS,stop
LLY,2019-01-10,long,2,116.44,112.05,4.39,117.09,112.05,127.17,119.2,2019-02-11,5.04,2.11,0.4187,WIN,maxhold
LLY,2019-02-25,long,5,123.33,117.5,5.83,124.1,117.5,137.3,129.34,2019-03-28,6.6,5.24,0.7939,WIN,maxhold
LLY,2019-04-17,short,3,127.32,123.02,4.3,120.0,127.32,105.36,115.87,2019-05-20,7.32,4.13,0.5642,WIN,maxhold
LLY,2019-09-05,long,5,112.88,108.88,4.0,113.96,108.88,124.12,108.88,2019-09-10,5.08,-5.08,-1.0,LOSS,stop
LLY,2019-09-23,long,5,112.42,109.21,3.21,116.0,109.21,129.58,109.21,2019-10-02,6.79,-6.79,-1.0,LOSS,stop
LLY,2019-11-25,long,5,116.12,111.33,4.79,116.6,111.33,127.14,127.14,2019-12-18,5.27,10.54,2.0,WIN,target
LLY,2020-03-23,short,5,144.0,128.2514,15.7486,120.95,144.0,74.85,144.0,2020-04-03,23.05,-23.05,-1.0,LOSS,stop
LLY,2020-05-28,short,5,159.13,147.16,11.97,147.43,159.13,124.03,159.13,2020-06-16,11.7,-11.7,-1.0,LOSS,stop
LLY,2020-08-03,short,4,165.41,150.45,14.96,152.8,165.41,127.58,152.19,2020-09-03,12.61,0.61,0.0484,WIN,maxhold
LLY,2020-12-10,long,5,150.14,143.13,7.01,159.87,143.13,193.35,185.0,2021-01-11,16.74,25.13,1.5012,WIN,maxhold
LLY,2021-03-18,short,5,208.4599,187.23,21.2299,186.02,208.4599,141.1402,189.24,2021-04-19,22.4399,-3.22,-0.1435,LOSS,maxhold
LLY,2021-06-08,long,3,204.45,198.25,6.2,221.71,198.25,268.63,237.17,2021-07-09,23.46,15.46,0.659,WIN,maxhold
LLY,2021-07-29,long,2,245.28,238.56,6.72,247.5,238.56,265.38,265.38,2021-08-04,8.94,17.88,2.0,WIN,target
LLY,2021-09-10,short,5,263.635,254.41,9.225,242.2,263.635,199.33,236.7,2021-10-11,21.435,5.5,0.2566,WIN,maxhold
LLY,2021-12-06,short,5,265.88,246.48,19.4,245.92,265.88,206.0,265.88,2021-12-15,19.96,-19.96,-1.0,LOSS,stop
LLY,2022-05-31,long,5,313.91,288.92,24.99,316.63,288.92,372.05,288.92,2022-06-13,27.71,-27.71,-1.0,LOSS,stop
LLY,2022-06-27,long,1,309.65,296.43,13.22,324.23,296.43,379.83,330.24,2022-07-28,27.8,6.01,0.2162,WIN,maxhold
LLY,2022-08-08,short,5,331.06,302.24,28.82,300.65,331.06,239.83,311.95,2022-09-08,30.41,-11.3,-0.3716,LOSS,maxhold
LLY,2022-10-03,long,5,315.18,296.32,18.86,325.99,296.32,385.33,354.06,2022-11-03,29.67,28.07,0.9461,WIN,maxhold
LLY,2022-11-28,long,5,364.67,346.355,18.315,363.45,346.355,397.64,368.1,2022-12-29,17.095,4.65,0.272,WIN,maxhold
LLY,2023-01-10,short,5,369.0,352.96,16.04,349.0,369.0,309.0,343.27,2023-02-10,20.0,5.73,0.2865,WIN,maxhold
LLY,2023-08-10,long,5,461.64,446.89,14.75,523.47,446.89,676.63,587.15,2023-09-11,76.58,63.68,0.8315,WIN,maxhold
LLY,2024-01-05,long,5,586.69,567.42,19.27,614.0,567.42,707.16,691.02,2024-02-05,46.58,77.02,1.6535,WIN,maxhold
LLY,2024-04-22,short,5,771.83,743.0,28.83,729.74,771.83,645.56,771.83,2024-04-30,42.09,-42.09,-1.0,LOSS,stop
LLY,2024-05-16,long,2,764.5,750.53,13.97,784.71,750.53,853.07,853.07,2024-06-07,34.18,68.36,2.0,WIN,target
LLY,2024-09-30,short,5,939.86,903.86,36.0,864.52,939.86,713.84,836.51,2024-10-31,75.34,28.01,0.3718,WIN,maxhold
LLY,2025-03-13,short,1,908.0,861.39,46.61,818.24,908.0,638.72,750.45,2025-04-14,89.76,67.79,0.7552,WIN,maxhold
LLY,2025-07-14,long,5,792.69,762.03,30.66,790.0,762.03,845.94,762.03,2025-07-17,27.97,-27.97,-1.0,LOSS,stop
LLY,2025-07-28,long,5,810.14,760.5,49.64,812.65,760.5,916.95,760.5,2025-07-29,52.15,-52.15,-1.0,LOSS,stop
LLY,2025-10-06,long,1,833.3,763.3,70.0,839.95,763.3,993.25,928.0,2025-11-06,76.65,88.05,1.1487,WIN,maxhold
MA,2018-02-16,long,5,172.61,158.565,14.045,174.35,158.565,205.92,181.79,2018-03-19,15.785,7.44,0.4713,WIN,maxhold
MA,2018-03-29,short,5,183.5,171.66,11.84,171.72,183.5,148.16,177.49,2018-04-30,11.78,-5.77,-0.4898,LOSS,maxhold
MA,2018-05-08,long,3,188.25,176.91,11.34,188.89,176.91,212.85,199.2,2018-06-08,11.98,10.31,0.8606,WIN,maxhold
MA,2018-07-09,long,5,198.58,193.16,5.42,200.8,193.16,216.08,203.19,2018-08-09,7.64,2.39,0.3128,WIN,maxhold
MA,2018-08-29,long,4,211.75,202.25,9.5,212.5,202.25,233.0,224.84,2018-10-01,10.25,12.34,1.2039,WIN,maxhold
MA,2019-03-22,long,1,231.94,227.84,4.1,234.84,227.84,248.84,239.8,2019-04-22,7.0,4.96,0.7086,WIN,maxhold
MA,2019-05-22,long,5,255.15,240.364,14.786,254.75,240.364,283.522,240.364,2019-06-03,14.386,-14.386,-1.0,LOSS,stop
MA,2019-07-10,long,4,273.08,266.4345,6.6455,274.17,266.4345,289.641,266.4345,2019-07-31,7.7355,-7.7355,-1.0,LOSS,stop
